Id;Name;City;Country;Code
113;Windsor Airport;Windsor;Canada;YQG
114;Watson Lake Airport;Watson Lake;Canada;YQH
115;Kenora Airport;Kenora;Canada;YQK
116;Lethbridge County Airport;Lethbridge;Canada;YQL
117;Greater Moncton International Airport;Moncton;Canada;YQM
119;Comox Airport;Comox;Canada;YQQ
120;Regina International Airport;Regina;Canada;YQR
121;Thunder Bay Airport;Thunder Bay;Canada;YQT
122;Grande Prairie Airport;Grande Prairie;Canada;YQU
123;Yorkton Municipal Airport;Yorkton;Canada;YQV
124;North Battleford Airport;North Battleford;Canada;YQW
125;Gander International Airport;Gander;Canada;YQX
126;Sydney / J.A. Douglas McCurdy Airport;Sydney;Canada;YQY
127;Quesnel Airport;Quesnel;Canada;YQZ
128;Resolute Bay Airport;Resolute;Canada;YRB
129;Rivière-du-Loup Airport;Riviere Du Loup;Canada;YRI
130;Roberval Airport;Roberval;Canada;YRJ
131;Rocky Mountain House Airport;Rocky Mountain House;Canada;YRM
132;Rankin Inlet Airport;Rankin Inlet;Canada;YRT
133;Sudbury Airport;Sudbury;Canada;YSB
134;Sherbrooke Airport;Sherbrooke;Canada;YSC
135;Saint John Airport;St. John;Canada;YSJ
136;Fort Smith Airport;Fort Smith;Canada;YSM
137;Nanisivik Airport;Nanisivik;Canada;YSR
138;Summerside Airport;Summerside;Canada;YSU
139;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Sachs Harbour;Canada;YSY
140;Cape Dorset Airport;Cape Dorset;Canada;YTE
141;Thompson Airport;Thompson;Canada;YTH
142;CFB Trenton;Trenton;Canada;YTR
143;Timmins/Victor M. Power;Timmins;Canada;YTS
144;Billy Bishop Toronto City Centre Airport;Toronto;Canada;YTZ
145;Tuktoyaktuk Airport;Tuktoyaktuk;Canada;YUB
146;Montreal / Pierre Elliott Trudeau International Airport;Montreal;Canada;YUL
147;Repulse Bay Airport;Repulse Bay;Canada;YUT
148;Hall Beach Airport;Hall Beach;Canada;YUX
149;Rouyn Noranda Airport;Rouyn;Canada;YUY
150;La Ronge Airport;La Ronge;Canada;YVC
151;Vermilion Airport;Vermillion;Canada;YVG
152;Qikiqtarjuaq Airport;Broughton Island;Canada;YVM
153;Val-d'Or Airport;Val D'or;Canada;YVO
154;Kuujjuaq Airport;Quujjuaq;Canada;YVP
155;Norman Wells Airport;Norman Wells;Canada;YVQ
156;Vancouver International Airport;Vancouver;Canada;YVR
157;Buffalo Narrows Airport;Buffalo Narrows;Canada;YVT
158;Wiarton Airport;Wiarton;Canada;YVV
159;Petawawa Airport;Petawawa;Canada;YWA
160;Winnipeg / James Armstrong Richardson International Airport;Winnipeg;Canada;YWG
161;Wabush Airport;Wabush;Canada;YWK
162;Williams Lake Airport;Williams Lake;Canada;YWL
163;Wrigley Airport;Wrigley;Canada;YWY
164;Cranbrook/Canadian Rockies International Airport;Cranbrook;Canada;YXC
165;Edmonton City Centre (Blatchford Field) Airport;Edmonton;Canada;YXD
166;Saskatoon John G. Diefenbaker International Airport;Saskatoon;Canada;YXE
167;Medicine Hat Airport;Medicine Hat;Canada;YXH
168;Fort St John Airport;Fort Saint John;Canada;YXJ
169;Sioux Lookout Airport;Sioux Lookout;Canada;YXL
170;Pangnirtung Airport;Pangnirtung;Canada;YXP
171;Earlton (Timiskaming Regional) Airport;Earlton;Canada;YXR
172;Prince George Airport;Prince George;Canada;YXS
173;Northwest Regional Airport Terrace-Kitimat;Terrace;Canada;YXT
174;London Airport;London;Canada;YXU
175;Abbotsford Airport;Abbotsford;Canada;YXX
176;Whitehorse / Erik Nielsen International Airport;Whitehorse;Canada;YXY
177;North Bay Jack Garland Airport;North Bay;Canada;YYB
178;Calgary International Airport;Calgary;Canada;YYC
179;Smithers Airport;Smithers;Canada;YYD
180;Fort Nelson Airport;Fort Nelson;Canada;YYE
181;Penticton Airport;Penticton;Canada;YYF
182;Charlottetown Airport;Charlottetown;Canada;YYG
183;Taloyoak Airport;Spence Bay;Canada;YYH
184;Victoria International Airport;Victoria;Canada;YYJ
185;Lynn Lake Airport;Lynn Lake;Canada;YYL
186;Swift Current Airport;Swift Current;Canada;YYN
187;Churchill Airport;Churchill;Canada;YYQ
188;Goose Bay Airport;Goose Bay;Canada;YYR
189;St. John's International Airport;St. John's;Canada;YYT
190;Kapuskasing Airport;Kapuskasing;Canada;YYU
191;Armstrong Airport;Armstrong;Canada;YYW
192;Mont Joli Airport;Mont Joli;Canada;YYY
193;Lester B. Pearson International Airport;Toronto;Canada;YYZ
194;Downsview Airport;Toronto;Canada;YZD
195;Gore Bay Manitoulin Airport;Gore Bay;Canada;YZE
196;Yellowknife Airport;Yellowknife;Canada;YZF
197;Slave Lake Airport;Slave Lake;Canada;YZH
198;Sandspit Airport;Sandspit;Canada;YZP
199;Chris Hadfield Airport;Sarnia;Canada;YZR
200;Port Hardy Airport;Port Hardy;Canada;YZT
201;Whitecourt Airport;Whitecourt;Canada;YZU
202;Sept-Îles Airport;Sept-iles;Canada;YZV
203;Teslin Airport;Teslin;Canada;YZW
204;CFB Greenwood;Greenwood;Canada;YZX
205;Faro Airport;Faro;Canada;ZFA
206;Fort Mcpherson Airport;Fort Mcpherson;Canada;ZFM
207;Blida Airport;Blida;Algeria;QLD
208;Bou Saada Airport;Bou Saada;Algeria;BUJ
209;Soummam Airport;Bejaja;Algeria;BJA
210;Houari Boumediene Airport;Algier;Algeria;ALG
211;Djanet Inedbirene Airport;Djanet;Algeria;DJG
212;Boufarik Airport;Boufarik;Algeria;\N
213;Reggane Airport;Reggan;Algeria;\N
214;Illizi Takhamalt Airport;Illizi;Algeria;VVZ
215;Ain Oussera Airport;Ain Oussera;Algeria;\N
216;Aguenar – Hadj Bey Akhamok Airport;Tamanrasset;Algeria;TMR
217;Jijel Ferhat Abbas Airport;Jijel;Algeria;GJL
218;Mecheria Airport;Mecheria;Algeria;MZW
219;Relizane Airport;Relizane;Algeria;\N
220;Rabah Bitat Airport;Annaba;Algeria;AAE
221;Mohamed Boudiaf International Airport;Constantine;Algeria;CZL
222;Cheikh Larbi Tébessi Airport;Tebessa;Algeria;TEE
224;Hassi R'Mel Airport;Tilrempt;Algeria;HRM
225;Bou Chekif Airport;Tiaret;Algeria;TID
226;Bou Sfer Airport;Bou Sfer;Algeria;\N
227;Tindouf Airport;Tindouf;Algeria;TIN
228;Ech Cheliff Airport;Ech-cheliff;Algeria;CFK
229;Tafaraoui Airport;Oran;Algeria;TAF
230;Zenata – Messali El Hadj Airport;Tlemcen;Algeria;TLM
231;Es Senia Airport;Oran;Algeria;ORN
232;Sidi Bel Abbes Airport;Sidi Bel Abbes;Algeria;BFW
233;Ghriss Airport;Ghriss;Algeria;MUW
234;Touat Cheikh Sidi Mohamed Belkebir Airport;Adrar;Algeria;AZR
235;Biskra Airport;Biskra;Algeria;BSK
236;El Golea Airport;El Golea;Algeria;ELG
237;Noumérat - Moufdi Zakaria Airport;Ghardaia;Algeria;GHA
238;Oued Irara Airport;Hassi Messaoud;Algeria;HME
239;In Salah Airport;In Salah;Algeria;INZ
240;Touggourt Sidi Madhi Airport;Touggourt;Algeria;TGR
241;Laghouat Airport;Laghouat;Algeria;LOO
242;Timimoun Airport;Timimoun;Algeria;TMX
243;Ain el Beida Airport;Ouargla;Algeria;OGX
244;In Aménas Airport;Zarzaitine;Algeria;IAM
245;Cadjehoun Airport;Cotonou;Benin;COO
246;Ouagadougou Airport;Ouagadougou;Burkina Faso;OUA
247;Bobo Dioulasso Airport;Bobo-dioulasso;Burkina Faso;BOY
248;Kotoka International Airport;Accra;Ghana;ACC
249;Tamale Airport;Tamale;Ghana;TML
250;Wa Airport;Wa;Ghana;\N
251;Sunyani Airport;Sunyani;Ghana;NYI
252;Takoradi Airport;Takoradi;Ghana;TKD
253;Port Bouet Airport;Abidjan;Cote d'Ivoire;ABJ
254;Bouaké Airport;Bouake;Cote d'Ivoire;BYK
255;Daloa Airport;Daloa;Cote d'Ivoire;DJO
256;Korhogo Airport;Korhogo;Cote d'Ivoire;HGO
257;Man Airport;Man;Cote d'Ivoire;MJC
258;San Pedro Airport;San Pedro;Cote d'Ivoire;SPY
259;Yamoussoukro Airport;Yamoussoukro;Cote d'Ivoire;ASK
260;Nnamdi Azikiwe International Airport;Abuja;Nigeria;ABV
261;Akure Airport;Akure;Nigeria;AKR
262;Benin Airport;Benin;Nigeria;BNI
263;Margaret Ekpo International Airport;Calabar;Nigeria;CBQ
264;Akanu Ibiam International Airport;Enugu;Nigeria;ENU
265;Gusau Airport;Gusau;Nigeria;\N
266;Ibadan Airport;Ibadan;Nigeria;IBA
267;Ilorin International Airport;Ilorin;Nigeria;ILR
268;Yakubu Gowon Airport;Jos;Nigeria;JOS
269;Kaduna Airport;Kaduna;Nigeria;KAD
270;Mallam Aminu International Airport;Kano;Nigeria;KAN
271;Maiduguri International Airport;Maiduguri;Nigeria;MIU
272;Makurdi Airport;Makurdi;Nigeria;MDI
273;Murtala Muhammed International Airport;Lagos;Nigeria;LOS
274;Minna Airport;Minna;Nigeria;MXJ
275;Port Harcourt International Airport;Port Hartcourt;Nigeria;PHC
276;Sadiq Abubakar III International Airport;Sokoto;Nigeria;SKO
277;Yola Airport;Yola;Nigeria;YOL
278;Zaria Airport;Zaria;Nigeria;ZAR
279;Maradi Airport;Maradi;Niger;MFQ
280;Diori Hamani International Airport;Niamey;Niger;NIM
281;Tahoua Airport;Tahoua;Niger;THZ
282;Mano Dayak International Airport;Agadez;Niger;AJY
283;Dirkou Airport;Dirkou;Niger;\N
284;Diffa Airport;Diffa;Niger;\N
285;Zinder Airport;Zinder;Niger;ZND
286;Monastir Habib Bourguiba International Airport;Monastir;Tunisia;MIR
287;Tunis Carthage International Airport;Tunis;Tunisia;TUN
288;Sidi Ahmed Air Base;Bizerte;Tunisia;\N
289;Remada Air Base;Remada;Tunisia;\N
290;Gafsa Ksar International Airport;Gafsa;Tunisia;GAF
291;Gabès Matmata International Airport;Gabes;Tunisia;GAE
292;Borj El Amri Airport;Bordj El Amri;Tunisia;\N
293;Djerba Zarzis International Airport;Djerba;Tunisia;DJE
294;El Borma Airport;El Borma;Tunisia;EBM
295;Sfax Thyna International Airport;Sfax;Tunisia;SFA
296;Tozeur Nefta International Airport;Tozeur;Tunisia;TOE
297;Niamtougou International Airport;Niatougou;Togo;LRL
298;Lomé-Tokoin Airport;Lome;Togo;LFW
299;Antwerp International Airport (Deurne);Antwerp;Belgium;ANR
300;Beauvechain Air Base;Beauvechain;Belgium;\N
301;Kleine Brogel Air Base;Kleine Brogel;Belgium;\N
302;Brussels Airport;Brussels;Belgium;BRU
303;Jehonville Air Base;Bertrix;Belgium;\N
304;Brussels South Charleroi Airport;Charleroi;Belgium;CRL
305;Chièvres Air Base;Chievres;Belgium;\N
306;Koksijde Air Base;Koksijde;Belgium;\N
307;Florennes Air Base;Florennes;Belgium;\N
308;Wevelgem Airport;Kortrijk-vevelgem;Belgium;KJK
309;Liège Airport;Liege;Belgium;LGG
310;Ostend-Bruges International Airport;Ostend;Belgium;OST
311;Zutendaal Air Base;Zutendaal;Belgium;\N
312;Brustem Airfield Sint Truiden;Sint-truiden;Belgium;\N
313;Saint Hubert Air Base;St.-hubert;Belgium;\N
314;Ursel Air Base;Ursel;Belgium;\N
315;Weelde Air Base;Weelde;Belgium;\N
316;Zoersel (Oostmalle) Airfield;Zoersel;Belgium;OBL
317;Flugplatz Bautzen;Bautzen;Germany;\N
318;Altenburg-Nobitz Airport;Altenburg;Germany;AOC
319;Dessau Airfield;Dessau;Germany;\N
320;Eisenhüttenstadt Airfield;Eisenhuettenstadt;Germany;\N
322;Großenhain Airport;Suhl;Germany;\N
323;Merseburg Airport;Muehlhausen;Germany;\N
324;Halle-Oppin Airport;Halle;Germany;\N
325;Riesa-Göhlis Airport;Riesa;Germany;IES
326;Rechlin-Lärz Airport;Rechlin-laerz;Germany;REB
327;Strausberg Airport;Strausberg;Germany;\N
328;Schönhagen Airport;Schoenhagen;Germany;QXH
329;Barth Airport;Barth;Germany;BBH
330;Jena-Schöngleina Airfield;Jena;Germany;\N
331;Kyritz Airport;Kyritz;Germany;\N
332;"Magdeburg ""City"" Airport";Magdeburg;Germany;ZMG
333;Rothenburg/Görlitz Airport;Rothenburg/ol;Germany;\N
334;Anklam Airfield;Anklam;Germany;\N
335;Cottbus-Drewitz Airport;Cottbus;Germany;CBU
336;Kamenz Airport;Kamenz;Germany;\N
337;Berlin-Schönefeld Airport;Berlin;Germany;SXF
338;Dresden Airport;Dresden;Germany;DRS
339;Erfurt Airport;Erfurt;Germany;ERF
340;Frankfurt am Main Airport;Frankfurt;Germany;FRA
341;Münster Osnabrück Airport;Munster;Germany;FMO
342;Hamburg Airport;Hamburg;Germany;HAM
343;Berlin-Tempelhof International Airport;Berlin;Germany;THF
344;Cologne Bonn Airport;Cologne;Germany;CGN
345;Düsseldorf Airport;Duesseldorf;Germany;DUS
346;Munich Airport;Munich;Germany;MUC
347;Nuremberg Airport;Nuernberg;Germany;NUE
348;Leipzig/Halle Airport;Leipzig;Germany;LEJ
349;Saarbrücken Airport;Saarbruecken;Germany;SCN
350;Stuttgart Airport;Stuttgart;Germany;STR
351;Berlin-Tegel Airport;Berlin;Germany;TXL
352;Hannover Airport;Hannover;Germany;HAJ
353;Bremen Airport;Bremen;Germany;BRE
354;Frankfurt-Egelsbach Airport;Egelsbach;Germany;QEF
355;Frankfurt-Hahn Airport;Hahn;Germany;HHN
356;Mannheim-City Airport;Mannheim;Germany;MHG
357;Allendorf/Eder Airport;Allendorf;Germany;\N
358;Worms Airport;Worms;Germany;\N
359;Mainz-Finthen Airport;Mainz;Germany;\N
360;Eisenach-Kindel Airport;Eisenach;Germany;EIB
361;Siegerland Airport;Siegerland;Germany;SGE
362;Hamburg-Finkenwerder Airport;Hamburg;Germany;XFW
363;Kiel-Holtenau Airport;Kiel;Germany;KEL
364;Lübeck Blankensee Airport;Luebeck;Germany;LBC
365;Flugplatz Dahlemer Binz;Dahlemer Binz;Germany;\N
366;Meinerzhagen Airport;Meinerzhagen;Germany;\N
367;Arnsberg-Menden Airport;Arnsberg;Germany;\N
368;Essen Mulheim Airport;Essen;Germany;ESS
369;Bielefeld Airport;Bielefeld;Germany;BFE
370;Mönchengladbach Airport;Moenchengladbach;Germany;MGL
371;Paderborn Lippstadt Airport;Paderborn;Germany;PAD
372;Stadtlohn-Vreden Airport;Stadtlohn;Germany;\N
373;Dortmund Airport;Dortmund;Germany;DTM
374;Augsburg Airport;Augsburg;Germany;AGB
375;Biberach a.d. Riß Airfield;Biberach;Germany;\N
376;Eggenfelden Airport;Eggenfelden;Germany;\N
377;Mindelheim-Mattsies Airfield;Mindelheim;Germany;\N
378;Oberpfaffenhofen Airport;Oberpfaffenhofen;Germany;OBF
379;Straubing Airport;Straubing;Germany;RBM
380;Vilshofen Airport;Vilshofen;Germany;\N
381;Leutkirch-Unterzeil Airport;Leutkirch;Germany;\N
382;Friedrichshafen Airport;Friedrichshafen;Germany;FDH
383;Schwerin Parchim Airport;Parchim;Germany;SZW
384;Stendal-Borstel Airport;Stendal;Germany;\N
385;Aalen-Heidenheim/Elchingen Airport;Aalen-heidenheim;Germany;\N
386;Bayreuth Airport;Bayreuth;Germany;BYU
387;Burg Feuerstein Airport;Burg Feuerstein;Germany;URD
388;Hof-Plauen Airport;Hof;Germany;HOQ
389;Haßfurt-Schweinfurt Airport;Hassfurt;Germany;\N
390;Koblenz-Winningen Airfield;Koblenz;Germany;\N
391;Trier-Föhren Airport;Trier;Germany;\N
392;Speyer Airfield;Speyer;Germany;\N
393;Zweibrücken Airport;Zweibruecken;Germany;ZQW
394;Donaueschingen-Villingen Airport;Donaueschingen;Germany;ZQL
395;Freiburg i. Br. Airport;Freiburg;Germany;\N
396;Mengen-Hohentengen Airport;Mengen;Germany;\N
397;Adolf Würth Airport;Schwaebisch Hall;Germany;\N
398;Finsterwalde/Schacksdorf Airport;Soest;Germany;\N
399;Braunschweig-Wolfsburg Airport;Braunschweig;Germany;BWE
400;Kassel-Calden Airport;Kassel;Germany;KSF
401;Hildesheim Airport;Hildesheim;Germany;\N
402;Bremerhaven Airport;Bremerhaven;Germany;BRV
403;Emden Airport;Emden;Germany;EME
404;Leer-Papenburg Airport;Leer;Germany;\N
405;Wilhelmshaven-Mariensiel Airport;Wilhelmshaven;Germany;WVN
406;Borkum Airport;Borkum;Germany;BMK
407;Norderney Airport;Norderney;Germany;NRD
408;Flensburg-Schäferhaus Airport;Flensburg;Germany;FLF
409;Rendsburg-Schachtholm Airport;Rendsburg;Germany;\N
410;Westerland Sylt Airport;Westerland;Germany;GWT
411;Ämari Air Base;Armari Air Force Base;Estonia;\N
412;Kärdla Airport;Kardla;Estonia;KDL
413;Kuressaare Airport;Kuressaare;Estonia;URE
414;Pärnu Airport;Parnu;Estonia;EPU
415;Lennart Meri Tallinn Airport;Tallinn-ulemiste International;Estonia;TLL
416;Tartu Airport;Tartu;Estonia;TAY
417;Enontekio Airport;Enontekio;Finland;ENF
418;Eura Airport;Eura;Finland;\N
419;Halli Airport;Halli;Finland;KEV
420;Helsinki Malmi Airport;Helsinki;Finland;HEM
421;Helsinki Vantaa Airport;Helsinki;Finland;HEL
422;Hameenkyro Airport;Hameenkyro;Finland;\N
423;Hanko Airport;Hanko;Finland;\N
424;Hyvinkää Airfield;Hyvinkaa;Finland;HYV
425;Kiikala Airport;Kikala;Finland;\N
426;Immola Airport;Immola;Finland;\N
427;Kitee Airport;Kitee;Finland;KTQ
428;Ivalo Airport;Ivalo;Finland;IVL
429;Joensuu Airport;Joensuu;Finland;JOE
430;Jyvaskyla Airport;Jyvaskyla;Finland;JYV
431;Kauhava Airport;Kauhava;Finland;KAU
432;Kemi-Tornio Airport;Kemi;Finland;KEM
433;Kajaani Airport;Kajaani;Finland;KAJ
434;Kauhajoki Airport;Kauhajoki;Finland;KHJ
435;Kokkola-Pietarsaari Airport;Kruunupyy;Finland;KOK
436;Kemijarvi Airport;Kemijarvi;Finland;\N
437;Kuusamo Airport;Kuusamo;Finland;KAO
438;Kittilä Airport;Kittila;Finland;KTT
439;Kuopio Airport;Kuopio;Finland;KUO
440;Lahti Vesivehmaa Airport;Vesivehmaa;Finland;QLF
441;Lappeenranta Airport;Lappeenranta;Finland;LPP
442;Mariehamn Airport;Mariehamn;Finland;MHQ
443;Menkijarvi Airport;Menkijarvi;Finland;\N
444;Mikkeli Airport;Mikkeli;Finland;MIK
445;Nummela Airport;Nummela;Finland;\N
446;Oulu Airport;Oulu;Finland;OUL
447;Piikajarvi Airport;Piikajarvi;Finland;\N
448;Pori Airport;Pori;Finland;POR
449;Pudasjärvi Airport;Pudasjarvi;Finland;\N
450;Pyhäsalmi Airport;Pyhasalmi;Finland;\N
451;Raahe Pattijoki Airport;Pattijoki;Finland;\N
452;Rantasalmi Airport;Rantasalmi;Finland;\N
453;Rovaniemi Airport;Rovaniemi;Finland;RVN
454;Rayskala Airport;Rayskala;Finland;\N
455;Savonlinna Airport;Savonlinna;Finland;SVL
456;Selanpaa Airport;Selanpaa;Finland;\N
457;Sodankyla Airport;Sodankyla;Finland;SOT
458;Tampere-Pirkkala Airport;Tampere;Finland;TMP
459;Teisko Airport;Teisko;Finland;\N
460;Turku Airport;Turku;Finland;TKU
461;Utti Air Base;Utti;Finland;UTI
462;Vaasa Airport;Vaasa;Finland;VAA
463;Varkaus Airport;Varkaus;Finland;VRK
464;Ylivieska Airfield;Ylivieska-raudaskyla;Finland;YLI
465;Belfast International Airport;Belfast;United Kingdom;BFS
466;St Angelo Airport;Enniskillen;United Kingdom;ENK
467;George Best Belfast City Airport;Belfast;United Kingdom;BHD
468;City of Derry Airport;Londonderry;United Kingdom;LDY
469;Birmingham International Airport;Birmingham;United Kingdom;BHX
470;Coventry Airport;Coventry;United Kingdom;CVT
471;Leicester Airport;Leicester;United Kingdom;\N
472;Gloucestershire Airport;Golouchestershire;United Kingdom;GLO
474;Wolverhampton Halfpenny Green Airport;Halfpenny Green;United Kingdom;\N
475;Cotswold Airport;Pailton;United Kingdom;GBA
476;Turweston Airport;Turweston;United Kingdom;\N
477;Wellesbourne Mountford Airport;Wellesbourne;United Kingdom;\N
478;Manchester Airport;Manchester;United Kingdom;MAN
479;Manchester Woodford Airport;Woodfort;United Kingdom;\N
480;Royal Marines Base Chivenor Airport;Chivenor;United Kingdom;\N
481;Newquay Cornwall Airport;Newquai;United Kingdom;NQY
482;RAF Lyneham;Lyneham;United Kingdom;LYE
483;MoD Boscombe Down Airport;Boscombe Down;United Kingdom;\N
484;RNAS Culdrose;Culdrose;United Kingdom;\N
485;MoD St. Athan;St. Athan;United Kingdom;\N
486;RNAS Yeovilton;Yeovilton;United Kingdom;YEO
487;Haverfordwest Airport;Haverfordwest;United Kingdom;HAW
488;Cardiff International Airport;Cardiff;United Kingdom;CWL
489;Swansea Airport;Swansea;United Kingdom;SWS
490;Bristol Airport;Bristol;United Kingdom;BRS
491;Liverpool John Lennon Airport;Liverpool;United Kingdom;LPL
492;London Luton Airport;London;United Kingdom;LTN
493;Plymouth City Airport;Plymouth;United Kingdom;PLH
494;Bournemouth Airport;Bournemouth;United Kingdom;BOH
495;Southampton Airport;Southampton;United Kingdom;SOU
496;Lasham Airport;Lasham;United Kingdom;QLA
497;Alderney Airport;Alderney;Guernsey;ACI
498;Guernsey Airport;Guernsey;Guernsey;GCI
499;Jersey Airport;Jersey;Jersey;JER
